"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 07 14:07:19 EET 2023","Thu Dec 07 14:07:33 EET 2023","14394","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_2 Test: country DE(CYSEC), language FR roleNotRegfor Demo button visibility",""
"passed","Thu Dec 07 14:07:05 EET 2023","Thu Dec 07 14:07:19 EET 2023","13788","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_1 Test: country DE(CYSEC), language FR roleNotRegfor Start Trading button visibility",""
"passed","Thu Dec 07 14:03:45 EET 2023","Thu Dec 07 14:03:58 EET 2023","12973","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_1 Test: country AU(ASIC), language ES roleNotRegfor Start Trading button visibility",""
"passed","Thu Dec 07 14:05:05 EET 2023","Thu Dec 07 14:05:17 EET 2023","12180","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_1 Test: country AU(ASIC), language FR roleNotRegfor Start Trading button visibility",""
"passed","Thu Dec 07 14:05:31 EET 2023","Thu Dec 07 14:05:43 EET 2023","12312","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_3 Test: country AU(ASIC), language FR roleNotRegfor Start Trading visibility",""
"passed","Thu Dec 07 14:04:39 EET 2023","Thu Dec 07 14:04:51 EET 2023","11804","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_2 Test: country AU(ASIC), language DE roleNotRegfor Demo button visibility",""
"passed","Thu Dec 07 14:06:52 EET 2023","Thu Dec 07 14:07:05 EET 2023","13068","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_3 Test: country DE(CYSEC), language DE roleNotRegfor Start Trading visibility",""
"passed","Thu Dec 07 14:04:26 EET 2023","Thu Dec 07 14:04:39 EET 2023","12491","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_1 Test: country AU(ASIC), language DE roleNotRegfor Start Trading button visibility",""
"passed","Thu Dec 07 14:04:51 EET 2023","Thu Dec 07 14:05:05 EET 2023","14343","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_3 Test: country AU(ASIC), language DE roleNotRegfor Start Trading visibility",""
"passed","Thu Dec 07 14:06:22 EET 2023","Thu Dec 07 14:06:37 EET 2023","14320","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_1 Test: country DE(CYSEC), language DE roleNotRegfor Start Trading button visibility",""
"passed","Thu Dec 07 14:07:33 EET 2023","Thu Dec 07 14:07:46 EET 2023","12369","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_3 Test: country DE(CYSEC), language FR roleNotRegfor Start Trading visibility",""
"passed","Thu Dec 07 14:06:09 EET 2023","Thu Dec 07 14:06:22 EET 2023","12967","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_3 Test: country DE(CYSEC), language ES roleNotRegfor Start Trading visibility",""
"passed","Thu Dec 07 14:04:11 EET 2023","Thu Dec 07 14:04:26 EET 2023","15539","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_3 Test: country AU(ASIC), language ES roleNotRegfor Start Trading visibility",""
"passed","Thu Dec 07 14:05:57 EET 2023","Thu Dec 07 14:06:09 EET 2023","12450","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_2 Test: country DE(CYSEC), language ES roleNotRegfor Demo button visibility",""
"passed","Thu Dec 07 14:05:43 EET 2023","Thu Dec 07 14:05:57 EET 2023","13888","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_1 Test: country DE(CYSEC), language ES roleNotRegfor Start Trading button visibility",""
"passed","Thu Dec 07 14:05:17 EET 2023","Thu Dec 07 14:05:31 EET 2023","13437","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_2 Test: country AU(ASIC), language FR roleNotRegfor Demo button visibility",""
"passed","Thu Dec 07 14:06:37 EET 2023","Thu Dec 07 14:06:52 EET 2023","15144","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_2 Test: country DE(CYSEC), language DE roleNotRegfor Demo button visibility",""
"passed","Thu Dec 07 14:03:58 EET 2023","Thu Dec 07 14:04:11 EET 2023","12429","chromium","tests\e2e\US_11\US_11_02_03.spec.ts","Main Page Tests","","","US_11.02.03_2 Test: country AU(ASIC), language ES roleNotRegfor Demo button visibility",""
